MEASURE,Unit,COUNTRY,Country,PRODUCT,Product,FLOW,Flow,TIME,Time,Value,Flag Codes,Flags
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,RESIDENT,Residential,2007,2007,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,COMMPUB,Commercial and public services,2007,2007,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,AGRICULT,Agriculture/forestry,2007,2007,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,FISHING,Fishing,2007,2007,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,ONONSPEC,Final consumption not elsewhere specified,2007,2007,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,NONENUSE,Non-energy use,2007,2007,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,EXPORTS,Exports,2008,2008,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,TES,Total energy supply,2008,2008,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,TOTTRANF,Transformation processes,2008,2008,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,TOTENGY,Energy industry own use,2008,2008,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,TOTIND,Industry,2008,2008,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,TOTTRANS,Transport,2008,2008,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,RESIDENT,Residential,2008,2008,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,COMMPUB,Commercial and public services,2008,2008,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,AGRICULT,Agriculture/forestry,2008,2008,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,FISHING,Fishing,2008,2008,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,ONONSPEC,Final consumption not elsewhere specified,2008,2008,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,NONENUSE,Non-energy use,2008,2008,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,EXPORTS,Exports,2009,2009,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,TES,Total energy supply,2009,2009,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,TOTTRANF,Transformation processes,2009,2009,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,TOTENGY,Energy industry own use,2009,2009,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,TOTIND,Industry,2009,2009,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,TOTTRANS,Transport,2009,2009,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,RESIDENT,Residential,2009,2009,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,COMMPUB,Commercial and public services,2009,2009,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,AGRICULT,Agriculture/forestry,2009,2009,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,FISHING,Fishing,2009,2009,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,ONONSPEC,Final consumption not elsewhere specified,2009,2009,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,NONENUSE,Non-energy use,2009,2009,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,EXPORTS,Exports,2010,2010,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,TES,Total energy supply,2010,2010,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,TOTTRANF,Transformation processes,2010,2010,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,TOTENGY,Energy industry own use,2010,2010,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,TOTIND,Industry,2010,2010,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,TOTTRANS,Transport,2010,2010,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,RESIDENT,Residential,2010,2010,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,COMMPUB,Commercial and public services,2010,2010,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,AGRICULT,Agriculture/forestry,2010,2010,0,,
