share,sector,year
0.007164514,Electricity,2050
0.014220507,Electricity,2050
0.29001598,Electricity,2050
0.262352782,Electricity,2050
0.17245454,Electricity,2050
0.45131084,Electricity,2050
0.106981361,Electricity,2050
0.212342266,Electricity,2050
0.444013397,Electricity,2050
0.401661142,Electricity,2050
0.264027264,Electricity,2050
0.690955232,Electricity,2050
0.16378807,Electricity,2050
0.325095227,Electricity,2050
0.259645721,Electricity,2050
0.227605671,Electricity,2050
0.212012473,Electricity,2050
0.403509265,Electricity,2050
0.190164839,Electricity,2050
0.221501069,Electricity,2050
0.06299615,Electricity,2050
0.055222481,Electricity,2050
0.051439205,Electricity,2050
0.097900824,Electricity,2050
0.046138456,Electricity,2050
0.053741361,Electricity,2050
0.046857547,Electricity,2050
0.041075367,Electricity,2050
0.038261306,Electricity,2050
0.072820204,Electricity,2050
0.034318524,Electricity,2050
0.039973687,Electricity,2050
0.015355284,Electricity,2050
0.013460456,Electricity,2050
0.012538284,Electricity,2050
0.023863283,Electricity,2050
0.011246229,Electricity,2050
0.013099433,Electricity,2050
0.167292969,Electricity,2050
0.146649166,Electricity,2050
0.136602275,Electricity,2050
0.25998604,Electricity,2050
0.122525572,Electricity,2050
0.142715895,Electricity,2050
0.388084305,Electricity,2050
0.340195048,Electricity,2050
0.316888386,Electricity,2050
0.603112627,Electricity,2050
0.284233414,Electricity,2050
0.331070692,Electricity,2050
0.262640897,Electricity,2050
0.219858874,Electricity,2050
0.215142039,Electricity,2050
0.353830575,Electricity,2050
0.227121243,Electricity,2050
1.097048064,Electricity,2050
0.067368769,Electricity,2050
0.056394955,Electricity,2050
0.055185062,Electricity,2050
0.0907594,Electricity,2050
0.058257791,Electricity,2050
0.281398588,Electricity,2050
0.007472475,Electricity,2050
0.006255271,Electricity,2050
0.006121071,Electricity,2050
0.01006694,Electricity,2050
0.006461895,Electricity,2050
0.031212445,Electricity,2050
0.004612442,Electricity,2050
0.003861114,Electricity,2050
0.003778278,Electricity,2050
0.006213896,Electricity,2050
0.003988654,Electricity,2050
0.01926612,Electricity,2050
0.217918924,Electricity,2050
0.18242174,Electricity,2050
0.178508078,Electricity,2050
0.293581004,Electricity,2050
0.188447487,Electricity,2050
0.910244888,Electricity,2050
0.086874243,Electricity,2050
0.072723149,Electricity,2050
0.071162952,Electricity,2050
0.11703723,Electricity,2050
0.075125337,Electricity,2050
0.362872731,Electricity,2050
0.256593138,Electricity,2050
0.212136122,Electricity,2050
0.192394293,Electricity,2050
0.324131292,Electricity,2050
0.221147393,Electricity,2050
1.057512484,Electricity,2050
0.070357699,Electricity,2050
0.058167609,Electricity,2050
0.05275441,Electricity,2050
0.088876624,Electricity,2050
0.060638495,Electricity,2050
0.289969347,Electricity,2050
0.007424759,Electricity,2050
0.006138355,Electricity,2050
0.005567107,Electricity,2050
0.009379038,Electricity,2050
0.006399104,Electricity,2050
0.030600101,Electricity,2050
0.004406139,Electricity,2050
0.003642736,Electricity,2050
0.003303736,Electricity,2050
0.005565883,Electricity,2050
0.003797475,Electricity,2050
0.01815928,Electricity,2050
0.208186802,Electricity,2050
0.172116609,Electricity,2050
0.156099079,Electricity,2050
0.262983872,Electricity,2050
0.179427902,Electricity,2050
0.858012586,Electricity,2050
0.091838956,Electricity,2050
0.07592705,Electricity,2050
0.06886112,Electricity,2050
0.116011986,Electricity,2050
0.079152333,Electricity,2050
0.378501323,Electricity,2050
0.216967273,Electricity,2050
0.153376993,Electricity,2050
0.141117604,Electricity,2050
0.232917642,Electricity,2050
0.206745762,Electricity,2050
0.802861597,Electricity,2050
0.074863746,Electricity,2050
0.052922158,Electricity,2050
0.048692102,Electricity,2050
0.080367362,Electricity,2050
0.071336852,Electricity,2050
0.277024392,Electricity,2050
0.008360544,Electricity,2050
0.005910177,Electricity,2050
0.005437778,Electricity,2050
0.00897517,Electricity,2050
0.007966672,Electricity,2050
0.030937198,Electricity,2050
0.011637091,Electricity,2050
0.008226411,Electricity,2050
0.007568876,Electricity,2050
0.012492593,Electricity,2050
0.011088858,Electricity,2050
0.043061671,Electricity,2050
0.104989091,Electricity,2050
0.074218157,Electricity,2050
0.068285916,Electricity,2050
0.112707374,Electricity,2050
0.100042967,Electricity,2050
0.388499649,Electricity,2050
0.102039806,Electricity,2050
0.072133269,Electricity,2050
0.066367673,Electricity,2050
0.109541272,Electricity,2050
0.097232625,Electricity,2050
0.377586169,Electricity,2050
0.211672688,Electricity,2050
0.152619063,Electricity,2050
0.618431061,Electricity,2050
0.111426768,Electricity,2050
