,share,sector,year,,,,,,,,,,,,
197,0.013045679,transport,2050,,,,,,,,,,,,
198,0.010859676,transport,2050,,,,,,,,,,,,
199,0.022077425,transport,2050,,,,,,,,,,,,
200,0.023494865,transport,2050,,,,,,,,,,,,
201,0.033363696,transport,2050,,,,,,,,,,,,
202,0.028288148,transport,2050,,,,,,,,,,,,
203,0.03024049,transport,2050,,,,,,,,,,,,
204,0.024499408,transport,2050,,,,,,,,,,,,
205,0.026736408,transport,2050,,,,,,,,,,,,
206,0.042561742,transport,2050,,,,,,,,,,,,
207,0.060439464,transport,2050,,,,,,,,,,,,
208,0.051244937,transport,2050,,,,,,,,,,,,
209,0.05478167,transport,2050,,,,,,,,,,,,
210,0.044381507,transport,2050,,,,,,,,,,,,
211,0.048433907,transport,2050,,,,,,,,,,,,
212,0.00035698,transport,2050,,,,,,,,,,,,
213,0.000506927,transport,2050,,,,,,,,,,,,
214,0.00042981,transport,2050,,,,,,,,,,,,
215,0.000459473,transport,2050,,,,,,,,,,,,
216,0.000372243,transport,2050,,,,,,,,,,,,
217,0.000406232,transport,2050,,,,,,,,,,,,
218,0.008620795,transport,2050,,,,,,,,,,,,
219,0.012241892,transport,2050,,,,,,,,,,,,
220,0.010379559,transport,2050,,,,,,,,,,,,
221,0.011095917,transport,2050,,,,,,,,,,,,
222,0.008989385,transport,2050,,,,,,,,,,,,
223,0.00981019,transport,2050,,,,,,,,,,,,
224,0.011392265,transport,2050,,,,,,,,,,,,
225,0.016177496,transport,2050,,,,,,,,,,,,
226,0.013716448,transport,2050,,,,,,,,,,,,
227,0.014663106,transport,2050,,,,,,,,,,,,
228,0.011879351,transport,2050,,,,,,,,,,,,
229,0.012964035,transport,2050,,,,,,,,,,,,
230,0.02114255,transport,2050,,,,,,,,,,,,
231,0.034130139,transport,2050,,,,,,,,,,,,
232,0.027275094,transport,2050,,,,,,,,,,,,
233,0.028024719,transport,2050,,,,,,,,,,,,
234,0.025719729,transport,2050,,,,,,,,,,,,
235,0.030839462,transport,2050,,,,,,,,,,,,
236,0.042759362,transport,2050,,,,,,,,,,,,
237,0.069025872,transport,2050,,,,,,,,,,,,
238,0.055162012,transport,2050,,,,,,,,,,,,
239,0.056678078,transport,2050,,,,,,,,,,,,
240,0.052016394,transport,2050,,,,,,,,,,,,
241,0.062370704,transport,2050,,,,,,,,,,,,
242,0.000471301,transport,2050,,,,,,,,,,,,
243,0.000760815,transport,2050,,,,,,,,,,,,
244,0.000608005,transport,2050,,,,,,,,,,,,
245,0.000624716,transport,2050,,,,,,,,,,,,
246,0.000573334,transport,2050,,,,,,,,,,,,
247,0.000687461,transport,2050,,,,,,,,,,,,
248,0.009148869,transport,2050,,,,,,,,,,,,
249,0.014768898,transport,2050,,,,,,,,,,,,
250,0.011802562,transport,2050,,,,,,,,,,,,
251,0.012126942,transport,2050,,,,,,,,,,,,
252,0.01112952,transport,2050,,,,,,,,,,,,
253,0.013344946,transport,2050,,,,,,,,,,,,
254,0.011108636,transport,2050,,,,,,,,,,,,
255,0.017932524,transport,2050,,,,,,,,,,,,
256,0.014330773,transport,2050,,,,,,,,,,,,
257,0.014724638,transport,2050,,,,,,,,,,,,
258,0.013513559,transport,2050,,,,,,,,,,,,
259,0.016203549,transport,2050,,,,,,,,,,,,
260,0.048220398,transport,2050,,,,,,,,,,,,
261,0.021939703,transport,2050,,,,,,,,,,,,
262,0.01244081,transport,2050,,,,,,,,,,,,
263,0.053271202,transport,2050,,,,,,,,,,,,
264,0.02298276,transport,2050,,,,,,,,,,,,
265,0.013605945,transport,2050,,,,,,,,,,,,
266,0.044611616,transport,2050,,,,,,,,,,,,
267,0.019391173,transport,2050,,,,,,,,,,,,
268,0.010899172,transport,2050,,,,,,,,,,,,
269,0.049410986,transport,2050,,,,,,,,,,,,
270,0.022213122,transport,2050,,,,,,,,,,,,
271,0.012379793,transport,2050,,,,,,,,,,,,
272,0.045893507,transport,2050,,,,,,,,,,,,
273,0.020726329,transport,2050,,,,,,,,,,,,
274,0.012379793,transport,2050,,,,,,,,,,,,
275,0.050451338,transport,2050,,,,,,,,,,,,
276,0.022241917,transport,2050,,,,,,,,,,,,
277,0.012464479,transport,2050,,,,,,,,,,,,
278,0.048484545,transport,2050,,,,,,,,,,,,
279,0.021711008,transport,2050,,,,,,,,,,,,
280,0.012223829,transport,2050,,,,,,,,,,,,
281,0.049295978,transport,2050,,,,,,,,,,,,
282,0.022106886,transport,2050,,,,,,,,,,,,
283,0.012385317,transport,2050,,,,,,,,,,,,
284,0.048768072,transport,2050,,,,,,,,,,,,
285,0.021781199,transport,2050,,,,,,,,,,,,
286,0.012374213,transport,2050,,,,,,,,,,,,
287,0.045561986,transport,2050,,,,,,,,,,,,
288,0.019617358,transport,2050,,,,,,,,,,,,
289,0.01231,transport,2050,,,,,,,,,,,,
290,0.042103681,transport,2050,,,,,,,,,,,,
291,0.01737649,transport,2050,,,,,,,,,,,,
292,0.01195423,transport,2050,,,,,,,,,,,,
293,0.030926224,transport,2050,,,,,,,,,,,,
294,0.029692248,transport,2050,,,,,,,,,,,,
295,0.044035492,transport,2050,,,,,,,,,,,,
296,0.037305822,transport,2050,,,,,,,,,,,,
297,0.032011619,transport,2050,,,,,,,,,,,,
298,0.039046893,transport,2050,,,,,,,,,,,,
299,0.018273287,transport,2050,,,,,,,,,,,,
300,0.017544171,transport,2050,,,,,,,,,,,,
301,0.026019121,transport,2050,,,,,,,,,,,,
302,0.022042781,transport,2050,,,,,,,,,,,,
303,0.018914611,transport,2050,,,,,,,,,,,,
304,0.023071523,transport,2050,,,,,,,,,,,,
305,0.036330473,transport,2050,,,,,,,,,,,,
306,0.034880863,transport,2050,,,,,,,,,,,,
307,0.051730539,transport,2050,,,,,,,,,,,,
308,0.043824883,transport,2050,,,,,,,,,,,,
309,0.037605536,transport,2050,,,,,,,,,,,,
310,0.0458702,transport,2050,,,,,,,,,,,,
311,0.073551437,transport,2050,,,,,,,,,,,,
312,0.070616687,transport,2050,,,,,,,,,,,,
313,0.104729039,transport,2050,,,,,,,,,,,,
314,0.088723953,transport,2050,,,,,,,,,,,,
315,0.076132817,transport,2050,,,,,,,,,,,,
316,0.092864719,transport,2050,,,,,,,,,,,,
317,0.000570992,transport,2050,,,,,,,,,,,,
318,0.000548209,transport,2050,,,,,,,,,,,,
319,0.000813028,transport,2050,,,,,,,,,,,,
320,0.000688778,transport,2050,,,,,,,,,,,,
321,0.000591031,transport,2050,,,,,,,,,,,,
322,0.000720924,transport,2050,,,,,,,,,,,,
323,0.016149962,transport,2050,,,,,,,,,,,,
324,0.015809537,transport,2050,,,,,,,,,,,,
325,0.02127828,transport,2050,,,,,,,,,,,,
326,0.018109245,transport,2050,,,,,,,,,,,,
327,0.018113261,transport,2050,,,,,,,,,,,,
328,0.018824237,transport,2050,,,,,,,,,,,,
329,0.034063832,transport,2050,,,,,,,,,,,,
330,0.0333458,transport,2050,,,,,,,,,,,,
331,0.044880584,transport,2050,,,,,,,,,,,,
332,0.038196391,transport,2050,,,,,,,,,,,,
333,0.038204861,transport,2050,,,,,,,,,,,,
334,0.039704468,transport,2050,,,,,,,,,,,,
335,0.023109002,transport,2050,,,,,,,,,,,,
336,0.022621887,transport,2050,,,,,,,,,,,,
337,0.030447118,transport,2050,,,,,,,,,,,,
338,0.025912542,transport,2050,,,,,,,,,,,,
339,0.025918288,transport,2050,,,,,,,,,,,,
340,0.026935626,transport,2050,,,,,,,,,,,,
341,0.028545857,transport,2050,,,,,,,,,,,,
342,0.027944139,transport,2050,,,,,,,,,,,,
343,0.037610411,transport,2050,,,,,,,,,,,,
344,0.032008986,transport,2050,,,,,,,,,,,,
345,0.032016084,transport,2050,,,,,,,,,,,,
346,0.03327277,transport,2050,,,,,,,,,,,,
347,0.000416647,transport,2050,,,,,,,,,,,,
348,0.000407865,transport,2050,,,,,,,,,,,,
349,0.000548951,transport,2050,,,,,,,,,,,,
350,0.000467194,transport,2050,,,,,,,,,,,,
351,0.000467298,transport,2050,,,,,,,,,,,,
352,0.00048564,transport,2050,,,,,,,,,,,,
353,0.012102565,transport,2050,,,,,,,,,,,,
354,0.011868367,transport,2050,,,,,,,,,,,,
355,0.014939936,transport,2050,,,,,,,,,,,,
356,0.013411838,transport,2050,,,,,,,,,,,,
357,0.013789172,transport,2050,,,,,,,,,,,,
358,0.014394942,transport,2050,,,,,,,,,,,,
359,0.03135834,transport,2050,,,,,,,,,,,,
360,0.03075152,transport,2050,,,,,,,,,,,,
361,0.038710106,transport,2050,,,,,,,,,,,,
362,0.03475073,transport,2050,,,,,,,,,,,,
363,0.035728422,transport,2050,,,,,,,,,,,,
364,0.037298001,transport,2050,,,,,,,,,,,,
365,0.010056415,transport,2050,,,,,,,,,,,,
366,0.009861812,transport,2050,,,,,,,,,,,,
367,0.012414078,transport,2050,,,,,,,,,,,,
368,0.011144332,transport,2050,,,,,,,,,,,,
369,0.011457872,transport,2050,,,,,,,,,,,,
370,0.011961226,transport,2050,,,,,,,,,,,,
371,0.011674868,transport,2050,,,,,,,,,,,,
372,0.011448946,transport,2050,,,,,,,,,,,,
373,0.014411968,transport,2050,,,,,,,,,,,,
374,0.012937872,transport,2050,,,,,,,,,,,,
375,0.013301872,transport,2050,,,,,,,,,,,,
376,0.013886234,transport,2050,,,,,,,,,,,,
377,0.000389695,transport,2050,,,,,,,,,,,,
378,0.000382154,transport,2050,,,,,,,,,,,,
379,0.000481056,transport,2050,,,,,,,,,,,,
